channel,region,fresh,milk,grocery,frozen,detergents_Paper,delicassen,id
2,3,12669,9656,7561,214,2674,1338,1
2,3,7057,9810,9568,1762,3293,1776,2
2,3,6353,8808,7684,2405,3516,7844,3
1,3,13265,1196,4221,6404,507,1788,4
2,3,22615,5410,7198,3915,1777,5185,5
2,3,9413,8259,5126,666,1795,1451,6
2,3,12126,3199,6975,480,3140,545,7
2,3,7579,4956,9426,1669,3321,2566,8
1,3,5963,3648,6192,425,1716,750,9
2,3,6006,11093,18881,1159,7425,2098,10
2,3,3366,5403,12974,4400,5977,1744,11
2,3,13146,1124,4523,1420,549,497,12
2,3,31714,12319,11757,287,3881,2931,13
2,3,21217,6208,14982,3095,6707,602,14
2,3,24653,9465,12091,294,5058,2168,15
1,3,10253,1114,3821,397,964,412,16
2,3,1020,8816,12121,134,4508,1080,17
1,3,5876,6157,2933,839,370,4478,18
2,3,18601,6327,10099,2205,2767,3181,19
1,3,7780,2495,9464,669,2518,501,20
2,3,17546,4519,4602,1066,2259,2124,21
1,3,5567,871,2010,3383,375,569,22
1,3,31276,1917,4469,9408,2381,4334,23
2,3,26373,36423,22019,5154,4337,16523,24
2,3,22647,9776,13792,2915,4482,5778,25
2,3,16165,4230,7595,201,4003,57,26
1,3,9898,961,2861,3151,242,833,27
1,3,14276,803,3045,485,100,518,28
2,3,4113,20484,25957,1158,8604,5206,29
1,3,43088,2100,2609,1200,1107,823,30
1,3,18815,3610,11107,1148,2134,2963,31
1,3,2612,4339,3133,2088,820,985,32
1,3,21632,1318,2886,266,918,405,33
1,3,29729,4786,7326,6130,361,1083,34
1,3,1502,1979,2262,425,483,395,35
2,3,688,5491,11091,833,4239,436,36
1,3,29955,4362,5428,1729,862,4626,37
2,3,15168,10556,12477,1920,6506,714,38
2,3,4591,15729,16709,33,6956,433,39
1,3,56159,555,902,10002,212,2916,40
1,3,24025,4332,4757,9510,1145,5864,41
1,3,19176,3065,5956,2033,2575,2802,42
2,3,10850,7555,14961,188,6899,46,43
2,3,630,11095,23998,787,9529,72,44
2,3,9670,7027,10471,541,4618,65,45
2,3,5181,22044,21531,1740,7353,4985,46
2,3,3103,14069,21955,1668,6792,1452,47
2,3,44466,54259,55571,7782,24171,6465,48
2,3,11519,6152,10868,584,5121,1476,49
2,3,4967,21412,28921,1798,13583,1163,50
1,3,6269,1095,1980,3860,609,2162,51
1,3,3347,4051,6996,239,1538,301,52
2,3,40721,3916,5876,532,2587,1278,53
2,3,491,10473,11532,744,5611,224,54
1,3,27329,1449,1947,2436,204,1333,55
1,3,5264,3683,5005,1057,2024,1130,56
2,3,4098,29892,26866,2616,17740,1340,57
2,3,5417,9933,10487,38,7572,1282,58
1,3,13779,1970,1648,596,227,436,59
1,3,6137,5360,8040,129,3084,1603,60
2,3,8590,3045,7854,96,4095,225,61
2,3,35942,38369,59598,3254,26701,2017,62
2,3,7823,6245,6544,4154,4074,964,63
2,3,9396,11601,15775,2896,7677,1295,64
1,3,4760,1227,3250,3724,1247,1145,65
2,3,85,20959,45828,36,24231,1423,66
1,3,9,1534,7417,175,3468,27,67
2,3,19913,6759,13462,1256,5141,834,68
1,3,2446,7260,3993,5870,788,3095,69
1,3,8352,2820,1293,779,656,144,70
1,3,16705,2037,3202,10643,116,1365,71
1,3,18291,1266,21042,5373,4173,14472,72
1,3,4420,5139,2661,8872,1321,181,73
2,3,19899,5332,8713,8132,764,648,74
2,3,8190,6343,9794,1285,1901,1780,75
1,3,20398,1137,3,4407,3,975,76
1,3,717,3587,6532,7530,529,894,77
2,3,12205,12697,28540,869,12034,1009,78
1,3,10766,1175,2067,2096,301,167,79
1,3,1640,3259,3655,868,1202,1653,80
1,3,7005,829,3009,430,610,529,81
2,3,219,9540,14403,283,7818,156,82
2,3,10362,9232,11009,737,3537,2342,83
1,3,20874,1563,1783,2320,550,772,84
2,3,11867,3327,4814,1178,3837,120,85
2,3,16117,46197,92780,1026,40827,2944,86
2,3,22925,73498,32114,987,20070,903,87
1,3,43265,5025,8117,6312,1579,14351,88
1,3,7864,542,4042,9735,165,46,89
1,3,24904,3836,5330,3443,454,3178,90
1,3,11405,596,1638,3347,69,360,91
1,3,12754,2762,2530,8693,627,1117,92
2,3,9198,27472,32034,3232,18906,5130,93
1,3,11314,3090,2062,35009,71,2698,94
2,3,5626,12220,11323,206,5038,244,95
1,3,3,2920,6252,440,223,709,96
2,3,23,2616,8118,145,3874,217,97
1,3,403,254,610,774,54,63,98
1,3,503,112,778,895,56,132,99
1,3,9658,2182,1909,5639,215,323,100
2,3,11594,7779,12144,3252,8035,3029,101
2,3,1420,10810,16267,1593,6766,1838,102
2,3,2932,6459,7677,2561,4573,1386,103
1,3,56082,3504,8906,18028,1480,2498,104
1,3,14100,2132,3445,1336,1491,548,105
1,3,15587,1014,3970,910,139,1378,106
2,3,1454,6337,10704,133,6830,1831,107
2,3,8797,10646,14886,2471,8969,1438,108
2,3,1531,8397,6981,247,2505,1236,109
2,3,1406,16729,28986,673,836,3,110
1,3,11818,1648,1694,2276,169,1647,111
2,3,12579,11114,17569,805,6457,1519,112
1,3,19046,2770,2469,8853,483,2708,113
1,3,14438,2295,1733,3220,585,1561,114
1,3,18044,1080,2000,2555,118,1266,115
1,3,11134,793,2988,2715,276,610,116
1,3,11173,2521,3355,1517,310,222,117
1,3,6990,3880,5380,1647,319,1160,118
1,3,20049,1891,2362,5343,411,933,119
1,3,8258,2344,2147,3896,266,635,120
1,3,17160,1200,3412,2417,174,1136,121
1,3,4020,3234,1498,2395,264,255,122
1,3,12212,201,245,1991,25,860,123
2,3,11170,10769,8814,2194,1976,143,124
1,3,36050,1642,2961,4787,500,1621,125
1,3,76237,3473,7102,16538,778,918,126
1,3,19219,1840,1658,8195,349,483,127
2,3,21465,7243,10685,880,2386,2749,128
1,3,140,8847,3823,142,1062,3,129
1,3,42312,926,1510,1718,410,1819,130
1,3,7149,2428,699,6316,395,911,131
1,3,2101,589,314,346,70,310,132
1,3,14903,2032,2479,576,955,328,133
1,3,9434,1042,1235,436,256,396,134
1,3,7388,1882,2174,720,47,537,135
1,3,6300,1289,2591,1170,199,326,136
1,3,4625,8579,7030,4575,2447,1542,137
1,3,3087,8080,8282,661,721,36,138
1,3,13537,4257,5034,155,249,3271,139
1,3,5387,4979,3343,825,637,929,140
1,3,17623,4280,7305,2279,960,2616,141
1,3,30379,13252,5189,321,51,1450,142
1,3,37036,7152,8253,2995,20,3,143
1,3,10405,1596,1096,8425,399,318,144
1,3,18827,3677,1988,118,516,201,145
2,3,22039,8384,34792,42,12591,4430,146
1,3,7769,1936,2177,926,73,520,147
